order_id,product_name,category,month -year,order_date,revenue,region,customer_id,,
3571,Fruits,Dairy,2023-01,08-01-2023,290.1099319,South,1626,,
3595,Rice,Bakery,2023-01,08-01-2023,347.3476999,South,1290,,
3867,Milk,Meat,2023-01,08-01-2023,48.34959009,North,1803,,
3911,Bread,Bakery,2023-01,08-01-2023,95.9774203,East,1682,,
3978,Vegetables,Dairy,2023-01,08-01-2023,166.8681582,West,1442,,
4059,Chicken,Dairy,2023-01,08-01-2023,334.3491597,East,1721,,
4236,Milk,Grains,2023-01,08-01-2023,227.9281318,West,1063,,
4625,Vegetables,Grains,2023-01,08-01-2023,222.3666566,West,1231,,
4985,Vegetables,Bakery,2023-01,08-01-2023,226.1666287,South,1063,,
1039,Fruits,Produce,2023-01,09-01-2023,477.7435679,East,1393,,
1243,Milk,Dairy,2023-01,09-01-2023,471.6496876,East,1441,,
1361,Eggs,Bakery,2023-01,09-01-2023,286.7952575,South,1168,,
1511,Eggs,Grains,2023-01,09-01-2023,143.8352849,South,1121,,
1600,Vegetables,Bakery,2023-01,09-01-2023,164.6796541,South,1718,,
3963,Eggs,Dairy,2023-01,09-01-2023,345.5264485,West,1615,,
4116,Chicken,Meat,2023-01,09-01-2023,97.74925548,North,1834,,
4142,Bread,Grains,2023-01,09-01-2023,380.0612305,South,1526,,
4514,Milk,Grains,2023-01,09-01-2023,34.73092122,Central,1310,,
4536,Milk,Dairy,2023-01,09-01-2023,338.6818121,South,1468,,
318,Rice,Grains,2023-01,10-01-2023,333.946561,South,1706,,
631,Milk,Grains,2023-01,10-01-2023,448.2108738,West,1313,,
689,Vegetables,Grains,2023-01,10-01-2023,157.8013187,South,1118,,
1195,Chicken,Produce,2023-01,10-01-2023,33.03351088,Central,1013,,
1537,Fruits,Bakery,2023-01,10-01-2023,112.5048434,East,1570,,
1664,Bread,Produce,2023-01,10-01-2023,6.694778739,Central,1258,,
1672,Chicken,Produce,2023-01,10-01-2023,281.9790141,East,1604,,
2204,Fruits,Bakery,2023-01,10-01-2023,106.2954357,South,1613,,
2450,Fruits,Dairy,2023-01,10-01-2023,202.8922877,South,1268,,
2583,Fruits,Dairy,2023-01,10-01-2023,283.2418984,Central,1882,,
2733,Milk,Produce,2023-01,10-01-2023,83.28225317,Central,1576,,
2852,Fruits,Grains,2023-01,10-01-2023,112.6629647,South,1442,,
3960,Milk,Meat,2023-01,10-01-2023,310.2202255,North,1227,,
4133,Rice,Produce,2023-01,10-01-2023,117.7147211,North,1423,,
4686,Fruits,Produce,2023-01,10-01-2023,260.9858235,Central,1469,,
422,Fruits,Grains,2023-01,11-01-2023,225.7278557,South,1335,,
781,Fruits,Dairy,2023-01,11-01-2023,7.642271774,East,1928,,
1078,Rice,Meat,2023-01,11-01-2023,383.8479929,East,1306,,
1145,Rice,Grains,2023-01,11-01-2023,188.2539227,Central,1799,,
1560,Eggs,Grains,2023-01,11-01-2023,144.7076972,South,1074,,
1748,Bread,Produce,2023-01,11-01-2023,203.4006131,South,1079,,
2082,Vegetables,Meat,2023-01,11-01-2023,191.0585639,Central,1766,,
2084,Chicken,Grains,2023-01,11-01-2023,492.3323943,East,1353,,
2088,Fruits,Bakery,2023-01,11-01-2023,168.5652998,North,1221,,
2384,Rice,Produce,2023-01,11-01-2023,26.34528314,Central,1975,,
2618,Vegetables,Meat,2023-01,11-01-2023,214.3603867,North,1064,,
3251,Rice,Bakery,2023-01,11-01-2023,491.185018,East,1600,,
3388,Vegetables,Dairy,2023-01,11-01-2023,429.7913189,West,1107,,
4579,Chicken,Grains,2023-01,11-01-2023,305.4216017,West,1217,,
4875,Eggs,Meat,2023-01,11-01-2023,369.2351705,South,1813,,
49,Chicken,Bakery,2023-01,12-01-2023,499.5742465,East,1785,,
978,Rice,Meat,2023-01,12-01-2023,80.87149672,South,1136,,
1101,Fruits,Grains,2023-01,12-01-2023,63.42428319,South,1116,,
1253,Chicken,Bakery,2023-01,12-01-2023,205.4477366,East,1023,,
1503,Chicken,Produce,2023-01,12-01-2023,292.3860278,North,1407,,
2260,Rice,Bakery,2023-01,12-01-2023,248.1441709,Central,1809,,
2734,Vegetables,Bakery,2023-01,12-01-2023,261.4889232,South,1927,,
3157,Milk,Dairy,2023-01,12-01-2023,235.7083688,Central,1309,,
3181,Eggs,Grains,2023-01,12-01-2023,324.4670201,South,1999,,
3196,Rice,Grains,2023-01,12-01-2023,39.37433349,North,1131,,
3366,Fruits,Grains,2023-01,12-01-2023,108.5689209,North,1130,,
3675,Rice,Dairy,2023-01,12-01-2023,246.9482142,West,1674,,
3724,Chicken,Grains,2023-01,12-01-2023,269.7243123,South,1682,,
3760,Bread,Grains,2023-01,12-01-2023,167.4492172,Central,1975,,
4006,Bread,Produce,2023-01,12-01-2023,364.4228641,South,1298,,
4777,Vegetables,Bakery,2023-01,12-01-2023,358.6330033,West,1916,,
6,Rice,Produce,2023-01,13-01-2023,455.9598391,Central,1345,,
347,Bread,Grains,2023-01,13-01-2023,139.9106935,South,1064,,
351,Eggs,Bakery,2023-01,13-01-2023,64.32282264,West,1920,,
516,Vegetables,Grains,2023-01,13-01-2023,309.7003614,East,1712,,
899,Chicken,Produce,2023-01,13-01-2023,248.93731,North,1941,,
1534,Fruits,Dairy,2023-01,13-01-2023,468.040231,Central,1113,,
1630,Milk,Dairy,2023-01,13-01-2023,335.7743315,Central,1061,,
1876,Rice,Dairy,2023-01,13-01-2023,112.8824319,Central,1867,,
2044,Chicken,Bakery,2023-01,13-01-2023,265.8618003,South,1719,,
3671,Vegetables,Grains,2023-01,13-01-2023,203.3006925,South,1323,,
3786,Fruits,Meat,2023-01,13-01-2023,481.8136693,East,1811,,
3929,Fruits,Meat,2023-01,13-01-2023,374.1166143,West,1650,,
4670,Bread,Bakery,2023-01,13-01-2023,248.3729621,West,1720,,
264,Vegetables,Produce,2023-01,14-01-2023,22.77550253,South,1003,,
413,Eggs,Grains,2023-01,14-01-2023,391.8791391,Central,1990,,
886,Eggs,Grains,2023-01,14-01-2023,154.8675244,West,1901,,
930,Milk,Produce,2023-01,14-01-2023,485.422802,South,1476,,
1364,Chicken,Dairy,2023-01,14-01-2023,270.9485918,East,1430,,
1406,Eggs,Dairy,2023-01,14-01-2023,124.6063114,West,1672,,
1806,Vegetables,Produce,2023-01,14-01-2023,426.7044681,Central,1868,,
1902,Vegetables,Dairy,2023-01,14-01-2023,178.144809,East,1302,,
1933,Fruits,Grains,2023-01,14-01-2023,291.2624691,East,1658,,
2875,Chicken,Meat,2023-01,14-01-2023,268.5243562,North,1363,,
3461,Fruits,Grains,2023-01,14-01-2023,200.1169118,East,1984,,
3955,Chicken,Grains,2023-01,14-01-2023,281.8200976,Central,1149,,
4038,Eggs,Dairy,2023-01,14-01-2023,461.3408113,East,1158,,
4589,Fruits,Meat,2023-01,14-01-2023,466.3070735,North,1804,,
4805,Eggs,Produce,2023-01,14-01-2023,260.6255902,North,1499,,
27,Eggs,Dairy,2023-01,15-01-2023,348.4803916,East,1770,,
177,Rice,Grains,2023-01,15-01-2023,413.035009,West,1009,,
334,Eggs,Meat,2023-01,15-01-2023,155.1563849,East,1329,,
800,Bread,Meat,2023-01,15-01-2023,43.09444194,East,1592,,
810,Vegetables,Meat,2023-01,15-01-2023,434.5535379,South,1457,,
1290,Eggs,Grains,2023-01,15-01-2023,353.5851622,West,1355,,
1465,Rice,Dairy,2023-01,15-01-2023,166.9430125,Central,1249,,
2535,Chicken,Dairy,2023-01,15-01-2023,195.7129675,South,1775,,
2728,Rice,Produce,2023-01,15-01-2023,377.5581689,South,1120,,
3453,Eggs,Bakery,2023-01,15-01-2023,353.9041128,South,1286,,
3819,Bread,Bakery,2023-01,15-01-2023,420.1747473,East,1808,,
4072,Rice,Bakery,2023-01,15-01-2023,250.2524812,West,1536,,
4345,Milk,Bakery,2023-01,15-01-2023,343.0534254,Central,1577,,
4676,Rice,Bakery,2023-01,15-01-2023,284.2238039,East,1167,,
4976,Fruits,Grains,2023-01,15-01-2023,345.5499381,Central,1229,,
120,Eggs,Bakery,2023-01,16-01-2023,216.214728,South,1029,,
1087,Milk,Grains,2023-01,16-01-2023,249.6161666,South,1131,,
1626,Eggs,Bakery,2023-01,16-01-2023,185.4833026,North,1572,,
2596,Fruits,Grains,2023-01,16-01-2023,124.9386923,East,1213,,
3781,Chicken,Produce,2023-01,16-01-2023,319.8623081,East,1211,,
3920,Milk,Produce,2023-01,16-01-2023,360.2247219,West,1425,,
4397,Vegetables,Meat,2023-01,16-01-2023,139.3291857,West,1909,,
4439,Rice,Produce,2023-01,16-01-2023,58.60964692,West,1156,,
4621,Fruits,Dairy,2023-01,16-01-2023,17.47556989,South,1458,,
4891,Fruits,Grains,2023-01,16-01-2023,163.7346312,Central,1544,,
146,Eggs,Grains,2023-01,17-01-2023,34.67633095,North,1752,,
671,Chicken,Produce,2023-01,17-01-2023,450.1314687,East,1292,,
727,Fruits,Bakery,2023-01,17-01-2023,340.2275868,West,1361,,
891,Fruits,Dairy,2023-01,17-01-2023,446.2869175,Central,1698,,
2117,Fruits,Produce,2023-01,17-01-2023,319.4329683,East,1931,,
2394,Bread,Meat,2023-01,17-01-2023,290.6120673,West,1745,,
2423,Eggs,Meat,2023-01,17-01-2023,194.3531242,North,1127,,
3426,Bread,Grains,2023-01,17-01-2023,127.0607043,West,1708,,
3506,Bread,Bakery,2023-01,17-01-2023,220.4344719,Central,1884,,
4265,Vegetables,Meat,2023-01,17-01-2023,65.51519319,East,1691,,
4622,Milk,Produce,2023-01,17-01-2023,448.9602743,South,1678,,
4685,Bread,Meat,2023-01,17-01-2023,31.99704056,South,1809,,
4934,Eggs,Dairy,2023-01,17-01-2023,455.413879,East,1018,,
4992,Rice,Meat,2023-01,17-01-2023,51.48903719,South,1444,,
310,Rice,Bakery,2023-01,18-01-2023,14.33969376,South,1903,,
361,Chicken,Dairy,2023-01,18-01-2023,349.2526125,South,1340,,
395,Eggs,Meat,2023-01,18-01-2023,299.7677358,East,1356,,
685,Bread,Bakery,2023-01,18-01-2023,356.6980692,East,1052,,
698,Eggs,Meat,2023-01,18-01-2023,432.4641584,Central,1033,,
759,Chicken,Produce,2023-01,18-01-2023,90.8860779,Central,1139,,
1016,Fruits,Produce,2023-01,18-01-2023,483.9853996,South,1876,,
1611,Eggs,Dairy,2023-01,18-01-2023,245.4668664,West,1483,,
2045,Bread,Bakery,2023-01,18-01-2023,152.9781132,North,1999,,
2492,Milk,Bakery,2023-01,18-01-2023,358.3318642,Central,1489,,
2658,Milk,Produce,2023-01,18-01-2023,400.8771226,East,1098,,
2915,Chicken,Grains,2023-01,18-01-2023,81.08469783,North,1852,,
3446,Chicken,Dairy,2023-01,18-01-2023,278.621295,East,1338,,
4091,Bread,Produce,2023-01,18-01-2023,166.1415326,Central,1853,,
4360,Eggs,Grains,2023-01,18-01-2023,23.20604689,North,1096,,
4479,Bread,Dairy,2023-01,18-01-2023,239.5564611,North,1806,,
333,Milk,Bakery,2023-01,19-01-2023,25.27220254,North,1409,,
386,Milk,Meat,2023-01,19-01-2023,231.8424902,East,1900,,
580,Chicken,Grains,2023-01,19-01-2023,116.7650138,North,1858,,
1158,Eggs,Produce,2023-01,19-01-2023,367.3525734,South,1297,,
1986,Bread,Meat,2023-01,19-01-2023,131.6500308,North,1190,,
2291,Bread,Grains,2023-01,19-01-2023,404.8674045,West,1755,,
2373,Bread,Produce,2023-01,19-01-2023,227.7591577,Central,1872,,
2603,Fruits,Dairy,2023-01,19-01-2023,105.9086362,North,1964,,
4074,Vegetables,Produce,2023-01,19-01-2023,16.35172621,East,1403,,
4203,Chicken,Bakery,2023-01,19-01-2023,190.5742156,East,1391,,
4494,Fruits,Dairy,2023-01,19-01-2023,497.1084436,East,1325,,
4930,Rice,Meat,2023-01,19-01-2023,102.7309108,West,1916,,
272,Fruits,Produce,2023-01,20-01-2023,108.9520672,South,1055,,
724,Vegetables,Grains,2023-01,20-01-2023,287.5490848,West,1279,,
847,Eggs,Grains,2023-01,20-01-2023,34.64261707,North,1372,,
1826,Eggs,Produce,2023-01,20-01-2023,207.1111205,South,1047,,
1944,Milk,Bakery,2023-01,20-01-2023,159.3120371,East,1227,,
2047,Fruits,Bakery,2023-01,20-01-2023,142.078227,West,1164,,
3087,Bread,Dairy,2023-01,20-01-2023,85.49273229,North,1087,,
3225,Fruits,Produce,2023-01,20-01-2023,252.6797923,South,1945,,
4022,Fruits,Meat,2023-01,20-01-2023,223.0743458,North,1354,,
4253,Eggs,Bakery,2023-01,20-01-2023,305.7907354,Central,1649,,
4319,Bread,Grains,2023-01,20-01-2023,62.14043436,West,1819,,
96,Rice,Produce,2023-01,21-01-2023,119.0363206,South,1450,,
488,Chicken,Dairy,2023-01,21-01-2023,490.6009578,Central,1733,,
559,Bread,Bakery,2023-01,21-01-2023,432.5110239,East,1459,,
596,Fruits,Produce,2023-01,21-01-2023,12.49455513,South,1242,,
1440,Fruits,Meat,2023-01,21-01-2023,314.9404891,Central,1845,,
1566,Rice,Produce,2023-01,21-01-2023,282.7910786,North,1139,,
1570,Chicken,Meat,2023-01,21-01-2023,70.06522094,East,1671,,
2107,Chicken,Dairy,2023-01,21-01-2023,57.39747314,East,1805,,
2303,Rice,Produce,2023-01,21-01-2023,265.0167253,North,1238,,
3117,Eggs,Produce,2023-01,21-01-2023,353.5644087,North,1909,,
3206,Eggs,Bakery,2023-01,21-01-2023,342.5358967,West,1898,,
3312,Eggs,Meat,2023-01,21-01-2023,161.192254,West,1267,,
3504,Eggs,Produce,2023-01,21-01-2023,97.02223773,North,1914,,
4366,Eggs,Bakery,2023-01,21-01-2023,270.524405,West,1652,,
273,Milk,Dairy,2023-01,22-01-2023,206.5497865,North,1751,,
279,Rice,Meat,2023-01,22-01-2023,425.8014118,East,1428,,
319,Rice,Meat,2023-01,22-01-2023,201.8882003,Central,1868,,
357,Rice,Bakery,2023-01,22-01-2023,490.4245936,East,1792,,
1152,Bread,Meat,2023-01,22-01-2023,29.89324483,North,1410,,
1166,Chicken,Bakery,2023-01,22-01-2023,458.4843407,Central,1056,,
1282,Bread,Bakery,2023-01,22-01-2023,291.7535878,South,1005,,
2358,Bread,Grains,2023-01,22-01-2023,142.5790375,South,1043,,
2386,Eggs,Meat,2023-01,22-01-2023,138.7715533,North,1249,,
2681,Bread,Dairy,2023-01,22-01-2023,402.54548,East,1728,,
2819,Bread,Bakery,2023-01,22-01-2023,427.896654,East,1261,,
3382,Bread,Grains,2023-01,22-01-2023,251.3792486,North,1156,,
3646,Chicken,Produce,2023-01,22-01-2023,380.7399956,North,1740,,
3772,Milk,Dairy,2023-01,22-01-2023,334.8350717,Central,1522,,
4346,Chicken,Meat,2023-01,22-01-2023,68.90392014,South,1814,,
4707,Rice,Bakery,2023-01,22-01-2023,175.5926504,West,1332,,
4983,Bread,Grains,2023-01,22-01-2023,483.5709104,West,1228,,
79,Fruits,Dairy,2023-01,23-01-2023,339.4289967,Central,1871,,
431,Milk,Produce,2023-01,23-01-2023,187.681744,Central,1112,,
657,Milk,Produce,2023-01,23-01-2023,211.3436342,West,1351,,
716,Chicken,Meat,2023-01,23-01-2023,459.5034181,East,1444,,
1239,Chicken,Dairy,2023-01,23-01-2023,442.7373877,South,1195,,
1254,Milk,Dairy,2023-01,23-01-2023,169.8059749,North,1054,,
1845,Rice,Produce,2023-01,23-01-2023,228.3915332,South,1044,,
3088,Bread,Dairy,2023-01,23-01-2023,83.46914265,East,1239,,
3913,Eggs,Produce,2023-01,23-01-2023,258.1334595,North,1802,,
4951,Rice,Dairy,2023-01,23-01-2023,352.4488256,South,1481,,
22,Chicken,Dairy,2023-01,24-01-2023,173.2612211,South,1294,,
83,Milk,Grains,2023-01,24-01-2023,175.0367853,Central,1093,,
594,Rice,Meat,2023-01,24-01-2023,33.62430651,North,1876,,
1386,Fruits,Meat,2023-01,24-01-2023,14.27932566,West,1767,,
1541,Vegetables,Bakery,2023-01,24-01-2023,271.0086811,South,1184,,
1688,Fruits,Dairy,2023-01,24-01-2023,371.7406042,West,1809,,
1987,Eggs,Meat,2023-01,24-01-2023,71.758016,Central,1675,,
2185,Milk,Meat,2023-01,24-01-2023,251.1053147,Central,1815,,
2972,Rice,Grains,2023-01,24-01-2023,477.6603033,North,1508,,
3817,Vegetables,Grains,2023-01,24-01-2023,154.3839186,North,1612,,
4066,Vegetables,Bakery,2023-01,24-01-2023,121.1354678,Central,1343,,
4252,Milk,Grains,2023-01,24-01-2023,74.24529467,North,1277,,
4581,Chicken,Bakery,2023-01,24-01-2023,138.36365,East,1357,,
862,Milk,Meat,2023-01,25-01-2023,452.266004,North,1442,,
985,Vegetables,Meat,2023-01,25-01-2023,426.7197887,East,1173,,
1252,Eggs,Bakery,2023-01,25-01-2023,287.1382009,East,1283,,
1341,Fruits,Meat,2023-01,25-01-2023,426.0209087,South,1628,,
3198,Fruits,Produce,2023-01,25-01-2023,128.6479937,South,1356,,
4008,Rice,Grains,2023-01,25-01-2023,83.27497932,North,1607,,
4019,Fruits,Dairy,2023-01,25-01-2023,63.05079619,North,1867,,
4476,Bread,Produce,2023-01,25-01-2023,265.8382646,South,1608,,
4526,Eggs,Meat,2023-01,25-01-2023,288.8622206,North,1058,,
375,Rice,Grains,2023-01,26-01-2023,456.1813033,Central,1443,,
506,Rice,Dairy,2023-01,26-01-2023,443.3900238,East,1954,,
528,Bread,Dairy,2023-01,26-01-2023,131.8310239,Central,1590,,
584,Eggs,Meat,2023-01,26-01-2023,231.9936209,East,1606,,
922,Rice,Dairy,2023-01,26-01-2023,438.3711755,North,1370,,
1362,Rice,Grains,2023-01,26-01-2023,242.3644959,East,1315,,
2074,Vegetables,Produce,2023-01,26-01-2023,467.2544773,Central,1926,,
2305,Milk,Grains,2023-01,26-01-2023,271.4937435,East,1145,,
2715,Milk,Grains,2023-01,26-01-2023,326.0223863,North,1061,,
2974,Vegetables,Dairy,2023-01,26-01-2023,169.4144877,South,1611,,
4374,Rice,Meat,2023-01,26-01-2023,180.6369227,North,1353,,
4606,Rice,Meat,2023-01,26-01-2023,160.3636714,South,1488,,
4733,Eggs,Produce,2023-01,26-01-2023,275.7576023,West,1661,,
4830,Rice,Meat,2023-01,26-01-2023,192.2191631,East,1311,,
4993,Vegetables,Meat,2023-01,26-01-2023,231.2893457,South,1359,,
91,Vegetables,Dairy,2023-01,27-01-2023,251.7344666,West,1390,,
136,Milk,Grains,2023-01,27-01-2023,235.4180009,South,1372,,
510,Rice,Dairy,2023-01,27-01-2023,216.0658051,South,1396,,
814,Fruits,Meat,2023-01,27-01-2023,76.03462828,East,1198,,
1054,Rice,Bakery,2023-01,27-01-2023,388.3175298,East,1156,,
1138,Milk,Produce,2023-01,27-01-2023,88.04025035,South,1578,,
1144,Milk,Dairy,2023-01,27-01-2023,388.0220108,East,1158,,
1613,Bread,Bakery,2023-01,27-01-2023,423.7251753,South,1187,,
1693,Milk,Dairy,2023-01,27-01-2023,495.4399465,Central,1907,,
2578,Eggs,Dairy,2023-01,27-01-2023,387.6690542,East,1783,,
3084,Eggs,Meat,2023-01,27-01-2023,213.6902394,West,1996,,
3158,Chicken,Produce,2023-01,27-01-2023,397.3495484,West,1985,,
3836,Vegetables,Dairy,2023-01,27-01-2023,241.637296,North,1367,,
3885,Bread,Dairy,2023-01,27-01-2023,417.3694688,North,1263,,
3933,Chicken,Grains,2023-01,27-01-2023,447.6211522,East,1409,,
3997,Chicken,Produce,2023-01,27-01-2023,185.5182065,North,1753,,
4807,Rice,Dairy,2023-01,27-01-2023,29.84694473,North,1022,,
4859,Milk,Grains,2023-01,27-01-2023,294.8101455,North,1191,,
205,Milk,Dairy,2023-01,28-01-2023,420.5634493,East,1283,,
288,Vegetables,Grains,2023-01,28-01-2023,297.6549817,North,1786,,
292,Chicken,Produce,2023-01,28-01-2023,110.3173749,North,1890,,
382,Vegetables,Grains,2023-01,28-01-2023,21.79823909,North,1046,,
743,Fruits,Dairy,2023-01,28-01-2023,14.82486227,South,1002,,
765,Eggs,Meat,2023-01,28-01-2023,245.7218549,South,1122,,
939,Vegetables,Bakery,2023-01,28-01-2023,344.402063,North,1433,,
1142,Fruits,Grains,2023-01,28-01-2023,273.6897447,North,1353,,
1714,Milk,Dairy,2023-01,28-01-2023,269.884207,South,1483,,
3185,Rice,Produce,2023-01,28-01-2023,205.8282113,North,1168,,
4746,Chicken,Dairy,2023-01,28-01-2023,453.7397188,West,1840,,
4867,Fruits,Grains,2023-01,28-01-2023,304.3957223,West,1536,,
4911,Fruits,Bakery,2023-01,28-01-2023,219.232075,Central,1005,,
680,Fruits,Meat,2023-01,29-01-2023,122.5010588,North,1820,,
683,Vegetables,Produce,2023-01,29-01-2023,245.0035241,East,1177,,
1160,Eggs,Dairy,2023-01,29-01-2023,283.6199244,South,1090,,
1345,Fruits,Dairy,2023-01,29-01-2023,464.5210888,East,1031,,
1659,Vegetables,Dairy,2023-01,29-01-2023,412.4491339,West,1726,,
2436,Milk,Dairy,2023-01,29-01-2023,129.8556053,South,1310,,
2550,Chicken,Bakery,2023-01,29-01-2023,136.4204118,South,1714,,
2684,Chicken,Produce,2023-01,29-01-2023,328.1255336,East,1535,,
2785,Chicken,Produce,2023-01,29-01-2023,26.73451076,East,1164,,
3560,Rice,Bakery,2023-01,29-01-2023,343.6974365,South,1245,,
